sigma_w_sq,f_cons,eta_cleanup,regime,time_to_transition
4.9000034,1000,0.91999996,B,100000
4.9000034,1000,0.92999995,B,100000
4.9000034,1000,0.93999994,B,100000
4.9000034,1000,0.9499999,B,100000
4.9000034,1000,0.9599999,B,100000
4.9000034,1000,0.9699999,B,100000
4.9000034,1000,0.9799999,B,100000
4.9000034,1000,0.9899999,B,100000
4.9000034,2000,0.9,B,100000
4.9000034,2000,0.90999997,B,100000
4.9000034,2000,0.91999996,B,100000
4.9000034,2000,0.92999995,B,100000
4.9000034,2000,0.93999994,B,100000
4.9000034,2000,0.9499999,B,100000
4.9000034,2000,0.9599999,B,100000
4.9000034,2000,0.9699999,B,100000
4.9000034,2000,0.9799999,B,100000
4.9000034,2000,0.9899999,B,100000
4.9000034,5000,0.9,B,100000
4.9000034,5000,0.90999997,B,100000
4.9000034,5000,0.91999996,B,100000
4.9000034,5000,0.92999995,B,100000
4.9000034,5000,0.93999994,B,100000
4.9000034,5000,0.9499999,B,100000
4.9000034,5000,0.9599999,B,100000
4.9000034,5000,0.9699999,B,100000
4.9000034,5000,0.9799999,B,100000
4.9000034,5000,0.9899999,B,100000
4.9500036,500,0.9,B,100000
4.9500036,500,0.90999997,B,100000
4.9500036,500,0.91999996,B,100000
4.9500036,500,0.92999995,B,100000
4.9500036,500,0.93999994,B,100000
4.9500036,500,0.9499999,B,100000
4.9500036,500,0.9599999,B,100000
4.9500036,500,0.9699999,B,100000
4.9500036,500,0.9799999,B,100000
4.9500036,500,0.9899999,B,100000
4.9500036,1000,0.9,B,100000
4.9500036,1000,0.90999997,B,100000
4.9500036,1000,0.91999996,B,100000
4.9500036,1000,0.92999995,B,100000
4.9500036,1000,0.93999994,B,100000
4.9500036,1000,0.9499999,B,100000
4.9500036,1000,0.9599999,B,100000
4.9500036,1000,0.9699999,B,100000
4.9500036,1000,0.9799999,B,100000
4.9500036,1000,0.9899999,B,100000
4.9500036,2000,0.9,B,100000
4.9500036,2000,0.90999997,B,100000
4.9500036,2000,0.91999996,B,100000
4.9500036,2000,0.92999995,B,100000
4.9500036,2000,0.93999994,B,100000
4.9500036,2000,0.9499999,B,100000
4.9500036,2000,0.9599999,B,100000
4.9500036,2000,0.9699999,B,100000
4.9500036,2000,0.9799999,B,100000
4.9500036,2000,0.9899999,B,100000
4.9500036,5000,0.9,B,100000
4.9500036,5000,0.90999997,B,100000
4.9500036,5000,0.91999996,B,100000
4.9500036,5000,0.92999995,B,100000
4.9500036,5000,0.93999994,B,100000
4.9500036,5000,0.9499999,B,100000
4.9500036,5000,0.9599999,B,100000
4.9500036,5000,0.9699999,B,100000
4.9500036,5000,0.9799999,B,100000
4.9500036,5000,0.9899999,B,100000
5.000004,500,0.9,B,100000
5.000004,500,0.90999997,B,100000
5.000004,500,0.91999996,B,100000
5.000004,500,0.92999995,B,100000
5.000004,500,0.93999994,B,100000
5.000004,500,0.9499999,B,100000
5.000004,500,0.9599999,B,100000
5.000004,500,0.9699999,B,100000
5.000004,500,0.9799999,B,100000
5.000004,500,0.9899999,B,100000
5.000004,1000,0.9,B,100000
5.000004,1000,0.90999997,B,100000
5.000004,1000,0.91999996,B,100000
5.000004,1000,0.92999995,B,100000
5.000004,1000,0.93999994,B,100000
5.000004,1000,0.9499999,B,100000
5.000004,1000,0.9599999,B,100000
5.000004,1000,0.9699999,B,100000
5.000004,1000,0.9799999,B,100000
5.000004,1000,0.9899999,B,100000
5.000004,2000,0.9,B,100000
5.000004,2000,0.90999997,B,100000
5.000004,2000,0.91999996,B,100000
5.000004,2000,0.92999995,B,100000
5.000004,2000,0.93999994,B,100000
5.000004,2000,0.9499999,B,100000
5.000004,2000,0.9599999,B,100000
5.000004,2000,0.9699999,B,100000
5.000004,2000,0.9799999,B,100000
5.000004,2000,0.9899999,B,100000
5.000004,5000,0.9,B,100000
5.000004,5000,0.90999997,B,100000
5.000004,5000,0.91999996,B,100000
5.000004,5000,0.92999995,B,100000
5.000004,5000,0.93999994,B,100000
5.000004,5000,0.9499999,B,100000
5.000004,5000,0.9599999,B,100000
5.000004,5000,0.9699999,B,100000
5.000004,5000,0.9799999,B,100000
5.000004,5000,0.9899999,B,100000
